	Sequence	Length	GC	Expression
0	RPL10	450	0.329	2.84
1	RPL11B	650	0.322	1.59
2	RPL12A	682	0.405	0.92
3	RPL13A	634	0.379	1.2
4	RPL13B	719	0.405	1.66
5	RPL14A	1172	0.361	1.62
6	RPL14B	306	0.32	1.39
7	RPL15A	682	0.327	2.56
8	RPL15B	965	0.421	0.23
9	RPL16B	698	0.405	1.5
10	RPL17A	664	0.369	1.73
11	RPL18A	452	0.365	1.9
12	RPL18B	1131	0.375	1.24
13	RPL19B	562	0.4	1.42
14	RPL1A	365	0.329	0.96
15	RPL1B	773	0.364	0.99
16	RPL20A	607	0.395	1.53
17	RPL20B	644	0.385	1.63
18	RPL22A	427	0.274	1.76
19	RPL22B	528	0.341	1.36
20	RPL23A	462	0.348	0.87
21	RPL23B	576	0.405	1.67
22	RPL25	867	0.394	2.3
23	RPL27A	833	0.382	1.75
24	RPL27B	555	0.377	1.31
25	RPL2A	658	0.416	1.11
26	RPL3	1129	0.388	3.56
27	RPL30	1152	0.381	1.89
28	RPL31A	630	0.397	1.69
29	RPL33A	1147	0.372	1.73
30	RPL33B	660	0.412	1.61
31	RPL34B	780	0.392	1.28
32	RPL35A	793	0.343	1.28
33	RPL36A	331	0.32	0.98
34	RPL36B	428	0.439	1.58
35	RPL38	788	0.363	1.83
36	RPL39	594	0.389	2.04
37	RPL40A	637	0.402	1.2
38	RPL40B	1053	0.369	1.51
39	RPL41A	386	0.394	1.04
40	RPL41B	619	0.355	2.1
41	RPL42B	754	0.37	1.6
42	RPL43A	492	0.36	1.45
43	RPL43B	1156	0.363	1.59
44	RPL4A	213	0.272	2.55
45	RPL4B	1194	0.327	0.76
46	RPL5	502	0.331	1.95
47	RPL6B	957	0.402	1.35
48	RPL7A	925	0.343	1.8
49	RPL7B	390	0.364	2.89
50	RPL8A	350	0.271	3.32
51	RPL8B	1199	0.387	1.48
52	RPP0	780	0.333	2.58
53	RPP1A	510	0.324	1.25
54	RPP1B	473	0.353	1.76
55	RPP2A	719	0.417	1.58
56	RPS0B	805	0.363	1.13
57	RPS10A	494	0.435	1.37
58	RPS11A	591	0.389	1.32
59	RPS11B	470	0.362	1.19
60	RPS12	530	0.328	1.37
61	RPS13	341	0.299	2.34
62	RPS14A	1150	0.37	1.45
63	RPS14B	372	0.333	3.09
64	RPS16A	716	0.406	1.58
65	RPS16B	634	0.379	1.52
66	RPS18A	1011	0.376	1.33
67	RPS18B	569	0.385	1.48
68	RPS19A	527	0.34	1.12
69	RPS1A	406	0.365	1.55
70	RPS1B	605	0.385	1.26
71	RPS2	899	0.367	1.31
72	RPS20	623	0.35	2.09
73	RPS21A	289	0.287	1.01
74	RPS21B	897	0.378	1.68
75	RPS23A	494	0.415	1.45
76	RPS23B	465	0.391	1.7
77	RPS24A	723	0.354	1.64
78	RPS24B	687	0.397	0.97
79	RPS27A	432	0.343	1.16
80	RPS27B	554	0.383	1.5
81	RPS28B	294	0.32	1.45
82	RPS3	1180	0.378	2.28
83	RPS4A	1099	0.429	1.75
84	RPS4B	782	0.402	1.15
85	RPS6A	724	0.394	0.94
86	RPS6B	713	0.367	1.12
87	RPS7A	1183	0.39	1.28
88	RPS7B	567	0.372	1.06
89	RPS9A	864	0.398	3.18
