Sequence	Length(log10)	GC	Expression	1_x	2_x	3_x	4_x	5_x	1_y	2_y	3_y	4_y	5_y	1	2	3	4	5
RPL10	2.65321251378	0.329	2.84	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RPL11B	2.81291335664	0.322	1.59	1	1	0	0	0	0.610769230769	0.635384615385	0.0	0.0	0.0	-6.58838029404	-5.68824613894	0.0	0.0	0.0
RPL12A	2.83378437466	0.405	0.92	2	0	0	0	1	0.392961876833	0.0	0.0	0.0	0.609970674487	-5.41569086612	0.0	0.0	0.0	-8.57348873864
RPL13A	2.80208925788	0.379	1.2	1	1	0	0	1	0.686119873817	0.656151419558	0.0	0.0	0.244479495268	-5.32239304728	-5.60205999133	0.0	0.0	-8.14752000636
RPL13B	2.85672889038	0.405	1.66	0	1	0	0	1	0.0	0.539638386648	0.0	0.0	0.756606397775	0.0	-6.52432881168	0.0	0.0	-8.73754891027
RPL14A	3.06892761168	0.361	1.62	0	1	0	0	0	0.0	0.650170648464	0.0	0.0	0.0	0.0	-6.17005330406	0.0	0.0	0.0
RPL14B	2.48572142648	0.32	1.39	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RPL15A	2.83378437466	0.327	2.56	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RPL15B	2.98452731334	0.421	0.23	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RPL16B	2.84385542262	0.405	1.5	0	1	0	0	0	0.0	0.445558739255	0.0	0.0	0.0	0.0	-5.33068311943	0.0	0.0	0.0
RPL17A	2.82216807937	0.369	1.73	1	0	0	0	0	0.477409638554	0.0	0.0	0.0	0.0	-6.58838029404	0.0	0.0	0.0	0.0
RPL18A	2.65513843481	0.365	1.9	0	0	1	0	0	0.0	0.0	0.0597345132743	0.0	0.0	0.0	0.0	-10.1758741661	0.0	0.0
RPL18B	3.05346260493	0.375	1.24	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RPL19B	2.74973631557	0.4	1.42	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RPL1A	2.56229286446	0.329	0.96	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RPL1B	2.88817949392	0.364	0.99	0	1	0	0	0	0.0	0.597671410091	0.0	0.0	0.0	0.0	-5.68824613894	0.0	0.0	0.0
RPL20A	2.78318869108	0.395	1.53	0	1	0	0	0	0.0	0.403624382208	0.0	0.0	0.0	0.0	-5.64781748189	0.0	0.0	0.0
RPL20B	2.80888586736	0.385	1.63	0	1	0	0	0	0.0	0.447204968944	0.0	0.0	0.0	0.0	-5.83564714422	0.0	0.0	0.0
RPL22A	2.63042787503	0.274	1.76	2	0	0	0	0	0.44262295082	0.0	0.0	0.0	0.0	-5.5547894906	0.0	0.0	0.0	0.0
RPL22B	2.72263392253	0.341	1.36	1	1	0	0	0	0.535984848485	0.581439393939	0.0	0.0	0.0	-6.35066514129	-4.80687540165	0.0	0.0	0.0
RPL23A	2.66464197556	0.348	0.87	1	0	0	0	0	0.253246753247	0.0	0.0	0.0	0.0	-5.48017200622	0.0	0.0	0.0	0.0
RPL23B	2.76042248342	0.405	1.67	1	0	0	0	0	0.324652777778	0.0	0.0	0.0	0.0	-6.58838029404	0.0	0.0	0.0	0.0
RPL25	2.93801909748	0.394	2.3	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RPL27A	2.92064500141	0.382	1.75	1	0	0	0	0	0.499399759904	0.0	0.0	0.0	0.0	-6.22988470521	0.0	0.0	0.0	0.0
RPL27B	2.74429298312	0.377	1.31	0	2	0	0	0	0.0	0.382882882883	0.0	0.0	0.0	0.0	-5.4434630532	0.0	0.0	0.0
RPL2A	2.81822589361	0.416	1.11	0	1	0	0	0	0.0	0.22188449848	0.0	0.0	0.0	0.0	-5.83564714422	0.0	0.0	0.0
RPL3	3.05269394192	0.388	3.56	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RPL30	3.06145247909	0.381	1.89	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RPL31A	2.79934054945	0.397	1.69	1	1	0	0	0	0.325396825397	0.368253968254	0.0	0.0	0.0	-5.58670023592	-5.03245202378	0.0	0.0	0.0
RPL33A	3.0595634179	0.372	1.73	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RPL33B	2.81954393554	0.412	1.61	0	0	1	0	0	0.0	0.0	0.228787878788	0.0	0.0	0.0	0.0	-8.61261017366	0.0	0.0
RPL34B	2.89209460269	0.392	1.28	0	0	0	1	0	0.0	0.0	0.0	0.638461538462	0.0	0.0	0.0	0.0	-8.75696195131	0.0
RPL35A	2.89927318732	0.343	1.28	0	1	0	0	0	0.0	0.631778058008	0.0	0.0	0.0	0.0	-5.60205999133	0.0	0.0	0.0
RPL36A	2.51982799378	0.32	0.98	1	0	0	0	0	0.507552870091	0.0	0.0	0.0	0.0	-6.35066514129	0.0	0.0	0.0	0.0
RPL36B	2.63144376901	0.439	1.58	0	1	0	0	0	0.0	0.266355140187	0.0	0.0	0.0	0.0	-5.83564714422	0.0	0.0	0.0
RPL38	2.89652621749	0.363	1.83	1	0	0	0	0	0.634517766497	0.0	0.0	0.0	0.0	-5.17198493578	0.0	0.0	0.0	0.0
RPL39	2.77378644498	0.389	2.04	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RPL40A	2.80413943234	0.402	1.2	1	0	0	0	0	0.43956043956	0.0	0.0	0.0	0.0	-6.58838029404	0.0	0.0	0.0	0.0
RPL40B	3.02242837119	0.369	1.51	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RPL41A	2.58658730467	0.394	1.04	1	0	0	0	0	0.284974093264	0.0	0.0	0.0	0.0	-5.61618463402	0.0	0.0	0.0	0.0
RPL41B	2.79169064902	0.355	2.1	1	0	0	0	0	0.442649434572	0.0	0.0	0.0	0.0	-6.35066514129	0.0	0.0	0.0	0.0
