start	end	log(Pc/Po)
0	98	-9.58144892908
1	99	-2.74729400285
2	100	-4.49185446255
3	101	-8.89663168255
4	102	-1.68408768302
5	103	-5.62857113226
6	104	-8.32120802776
7	105	-1.6197271433
8	106	-4.59037621169
9	107	-10.5769467917
10	108	-1.47877348334
11	109	-5.05170147748
12	110	-10.5769467917
13	111	-3.94106219598
14	112	-4.76233076051
15	113	-9.17608857405
16	114	-4.59296666497
17	115	-4.27542128345
18	116	-8.53283626774
19	117	-5.06022063388
20	118	-4.42726629619
21	119	-9.37312781178
22	120	-5.56899504609
23	121	-3.34758613295
24	122	-9.72405337672
25	123	-3.19260929165
26	124	-2.44418908741
27	125	-9.50151455388
28	126	-4.69524648885
29	127	-2.84660232674
30	128	-9.50151455388
31	129	-4.67604388339
32	130	-2.84256059254
33	131	-9.0853586757
34	132	-5.37745060976
35	133	-3.34550442056
36	134	-9.0853586757
37	135	-5.84470457866
38	136	-3.68175796037
39	137	-10.7469709379
40	138	-7.76680312517
41	139	-3.44452064188
42	140	-11.3073404904
43	141	-7.16144872342
44	142	-4.59049427073
45	143	-11.6423033056
46	144	-6.17986743739
47	145	-5.02063594127
48	146	-13.8314210421
49	147	-4.58702487147
50	148	-5.37711532249
51	149	-12.6876078641
52	150	-6.61400576378
53	151	-5.34735239345
54	152	-13.69543713
55	153	-4.55661667802
56	154	-6.44455475299
57	155	-13.346021111
58	156	-2.66529810192
59	157	-7.17030730611
60	158	-11.084153362
61	159	-3.939483081
62	160	-8.51698219783
63	161	-10.0852537082
64	162	-4.7739607459
65	163	-9.63887316143
66	164	-9.36021710097
67	165	-4.29913608812
68	166	-9.13275095234
69	167	-10.160538627
70	168	-3.51212366339
71	169	-9.97304249637
72	170	-10.6484518796
73	171	-2.42585915476
74	172	-10.0092758608
75	173	-11.425216898
76	174	-2.82285691408
77	175	-9.68536176826
78	176	-10.9010368503
79	177	-4.34254222126
80	178	-8.76546165518
81	179	-9.44684421619
82	180	-4.34254222126
83	181	-7.33026897529
84	182	-10.5383286317
85	183	-4.04686466792
86	184	-7.36156288768
87	185	-9.93274419254
88	186	-4.34590019982
89	187	-6.65769153316
90	188	-9.71791617029
91	189	-4.71198256887
92	190	-6.37422296127
93	191	-10.053291539
94	192	-4.94074044047
95	193	-7.27762000681
96	194	-10.06422939
97	195	-6.03346762335
98	196	-9.66301329284
99	197	-8.27845800713
100	198	-5.81092880051
101	199	-11.202950065
102	200	-8.48446931068
103	201	-5.35444981315
104	202	-11.4739648941
105	203	-7.4457817259
106	204	-5.92175418089
107	205	-12.5121598146
108	206	-5.19004296198
109	207	-8.29410077802
110	208	-12.3584091692
111	209	-4.64172350053
112	210	-7.72939187685
113	211	-12.7484829612
114	212	-5.72739829731
115	213	-7.57528612219
116	214	-12.0794695856
117	215	-9.06351200404
118	216	-8.40001058979
119	217	-11.9450412008
120	218	-10.3038284489
121	219	-7.77730278639
122	220	-13.5497585604
123	221	-13.4310233529
124	222	-9.54787083502
125	223	-12.2924759462
126	224	-14.7398266843
127	225	-8.61047774976
128	226	-11.9660432454
129	227	-13.9591908326
130	228	-10.0766236192
131	229	-12.0599584087
132	230	-14.1585822892
133	231	-11.2228604095
134	232	-12.7472326633
135	233	-14.7344986082
136	234	-11.811400997
137	235	-12.9402046761
138	236	-14.0496813617
139	237	-10.5478576691
140	238	-12.6097520081
141	239	-13.5014214839
142	240	-12.0355864081
143	241	-11.4637783793
144	242	-13.1664586687
145	243	-12.872026645
146	244	-11.3541612653
147	245	-11.3876999986
148	246	-13.6245776669
149	247	-10.7779793024
150	248	-12.0769970502
151	249	-12.1101760664
152	250	-10.3263755461
153	251	-13.1053864386
154	252	-13.1314401695
155	253	-9.90357059684
156	254	-11.8654291279
157	255	-15.4049520461
158	256	-9.60136776838
159	257	-12.0343494406
160	258	-15.5663497611
161	259	-9.10287034972
162	260	-12.5965535197
163	261	-15.5663497611
164	262	-8.07577431697
165	263	-12.2602999799
166	264	-15.8861806391
167	265	-8.07577431697
168	266	-12.2602999799
169	267	-15.580465881
170	268	-6.79034945199
171	269	-12.9969804146
172	270	-15.8929998754
173	271	-6.57939835513
174	272	-12.3294604905
175	273	-16.2095676244
176	274	-6.77486474793
177	275	-12.38739034
178	276	-14.683974173
179	277	-7.18522381427
180	278	-14.6565386221
181	279	-13.7575189387
182	280	-9.56160956871
183	281	-17.1448057859
184	282	-16.4503803391
185	283	-10.0216212857
186	284	-17.0941686289
187	285	-16.1513448072
188	286	-10.0825059778
189	287	-16.528924517
190	288	-16.0753642686
191	289	-10.1746022472
192	290	-16.1994572925
193	291	-16.2823149036
194	292	-8.14325860638
195	293	-16.7731425092
196	294	-16.8667152805
197	295	-3.67995557608
198	296	-16.3697961556
199	297	-18.0094481023
200	298	-3.12349842247
201	299	-16.3635349202
202	300	-17.6830154015
203	301	-2.18895930838
204	302	-17.9981190567
205	303	-17.8717922375
206	304	-4.11155051911
207	305	-17.6531917116
208	306	-16.6763873058
209	307	-4.42415888999
210	308	-18.8528724384
211	309	-15.3934526902
212	310	-6.11469308684
213	311	-17.4319287453
214	312	-15.3103211264
215	313	-8.63168291188
216	314	-14.7221365274
217	315	-14.9381533341
218	316	-7.43223882281
219	317	-15.1622921926
220	318	-14.716817829
221	319	-5.35432907855
222	320	-12.0146243917
223	321	-16.6773061014
224	322	-5.42398987898
225	323	-11.2012343508
226	324	-17.468879804
227	325	-5.23876424616
228	326	-11.4741088186
229	327	-16.9438426077
230	328	-4.51953696816
231	329	-11.0145394305
232	330	-15.2301396493
233	331	-3.45633064834
234	332	-11.8627169036
235	333	-14.7934440746
236	334	-3.49708961336
237	335	-12.8341219206
238	336	-13.5881615911
239	337	-4.58981679624
240	338	-15.1681531812
241	339	-12.5018970825
242	340	-3.95575319669
243	341	-15.433259866
244	342	-12.2367903977
245	343	-4.21212902471
246	344	-16.3970628881
247	345	-13.3315938489
248	346	-5.51442921386
249	347	-16.3646695374
250	348	-13.6505905176
251	349	-7.90555499844
252	350	-14.0001720227
253	351	-12.9278024248
254	352	-7.24209543907
255	353	-14.6269268934
256	354	-12.9278024248
257	355	-7.00400699011
258	356	-17.1600299948
259	357	-12.2428590189
260	358	-6.43303685357
261	359	-17.1098160924
262	360	-11.2350297531
263	361	-8.56963485989
264	362	-16.665667415
265	363	-11.4913808379
266	364	-8.13684098623
267	365	-16.665667415
268	366	-10.8223674623
269	367	-11.2620035961
270	368	-16.8210707857
271	369	-9.80933370554
272	370	-12.4811722214
273	371	-17.5529512495
274	372	-9.09576819724
275	373	-12.2857058286
276	374	-17.0277674311
277	375	-8.84260297852
278	376	-14.0644644987
279	377	-14.8386496946
280	378	-8.5631162506
281	379	-13.5856585558
282	380	-11.5179714783
283	381	-6.68340848767
284	382	-13.3989682462
285	383	-10.7959775594
286	384	-7.34222616338
287	385	-13.2279501406
