start	end	log(Pc/Po)
0	98	-9.53885972595
3	101	-8.83483671046
6	104	-8.25475592461
9	107	-10.5123201599
12	110	-10.5123201599
15	113	-9.11151023424
18	116	-8.48167483848
21	119	-9.31192392919
24	122	-9.68968018317
27	125	-9.48400406472
30	128	-9.48400406472
33	131	-9.08293148256
36	134	-9.08293148256
39	137	-10.7541894706
42	140	-11.3169587262
45	143	-11.6466054069
48	146	-13.8200164301
51	149	-12.653303113
54	152	-13.696158723
57	155	-13.3718137477
60	158	-11.0992109264
63	161	-10.092682396
66	164	-9.36023780623
69	167	-10.1523131972
72	170	-10.6558130976
75	173	-11.4477050452
78	176	-10.9218845952
81	179	-9.47743561093
84	182	-10.5721302444
87	185	-9.96077506327
90	188	-9.73565089454
93	191	-10.0767779899
96	194	-10.0823850936
99	197	-8.31096166153
102	200	-8.52144269955
105	203	-7.49286458422
108	206	-5.23530034897
111	209	-4.69229650843
114	212	-5.76237575581
117	215	-9.08260169528
120	218	-10.3451890605
123	221	-13.4593849582
126	224	-14.7646409202
129	227	-13.9615143934
132	230	-14.1787837817
135	233	-14.7511640403
138	236	-14.0471410249
141	239	-13.4849686471
144	242	-13.1553219663
147	245	-11.3996235194
150	248	-12.0942049254
153	251	-13.1049396529
156	254	-11.8555243776
159	257	-12.0164892039
162	260	-12.5728448908
165	263	-12.240982683
168	266	-12.240982683
171	269	-12.9641415864
174	272	-12.2762056473
177	275	-12.334927318
180	278	-14.5749079347
183	281	-17.059367446
186	284	-17.0178191455
189	287	-16.4744179417
192	290	-16.1450859466
195	293	-16.7318707228
198	296	-16.3298831318
201	299	-16.3142784197
204	302	-17.9699302713
207	305	-17.6180041781
210	308	-18.7892214885
213	311	-17.3721663536
216	314	-14.6730533925
219	317	-15.0977791648
222	320	-11.9365903168
225	323	-11.117755506
228	326	-11.3985005388
231	329	-10.9178173066
234	332	-11.7765596174
237	335	-12.7601937772
240	338	-15.0937895871
243	341	-15.3601260781
246	344	-16.3202928926
249	347	-16.2908108426
252	350	-13.9377277571
255	353	-14.5505239986
258	356	-17.0868877661
261	359	-17.0354466484
264	362	-16.585626486
267	365	-16.585626486
270	368	-16.759654538
273	371	-17.5105859813
276	374	-16.9766881527
279	377	-14.8032771295
282	380	-11.4836069438
285	383	-10.7690859142
288	386	-12.4176740654
291	389	-13.0225278997
294	392	-11.7459888535
297	395	-11.585680997
300	398	-10.3207254236
303	401	-9.53268686112
306	404	-10.1194716373
309	407	-9.19729444647
312	410	-12.6582663484
315	413	-12.8801253986
318	416	-11.7019589505
321	419	-12.1483314472
324	422	-11.8192094145
327	425	-11.8192094145
330	428	-11.3597582418
333	431	-10.6088710844
336	434	-8.65120920866
339	437	-8.65120920866
342	440	-7.65021260085
345	443	-6.5467318363
348	446	-5.53453352304
351	449	-6.8298889307
354	452	-8.60386812381
357	455	-5.75444368771
360	458	-4.88299133696
363	461	-5.326018756
366	464	-4.19528841391
369	467	-4.05943406168
372	470	-2.5932279966
375	473	-4.82410260136
378	476	-7.19133768349
381	479	-7.61878886515
384	482	-6.72627004411
387	485	-5.97861629372
390	488	-4.87903645015
393	491	-6.29609158505
396	494	-6.87411201778
399	497	-7.53933444353
402	500	-8.35447357368
405	503	-8.15288774769
408	506	-9.66483740529
411	509	-7.24554586655
414	512	-7.56989084178
417	515	-5.95609643541
420	518	-7.46600692027
423	521	-6.96537561267
426	524	-8.67557107696
429	527	-8.66877833361
432	530	-8.66877833361
435	533	-8.36649687708
438	536	-5.82654807243
441	539	-5.81744206052
444	542	-6.60951745146
447	545	-8.22144891236
450	548	-7.38577103947
453	551	-6.57275585535
456	554	-8.00809882769
459	557	-8.55710713524
462	560	-10.2351578666
465	563	-11.3059427219
468	566	-10.7356916242
471	569	-13.5626042411
474	572	-11.8069057942
477	575	-11.1340908957
480	578	-10.3727582925
483	581	-13.5312569285
486	584	-12.8055121356
489	587	-13.4587194825
492	590	-13.3497273138
495	593	-13.3497273138
498	596	-12.3851352098
501	599	-11.7309609059
504	602	-13.9552522842
507	605	-13.3654798174
510	608	-13.9357309151
513	611	-14.0447230837
516	614	-14.813978386
519	617	-12.6992140667
522	620	-13.3213489353
525	623	-11.1754394494
528	626	-11.3737893004
531	629	-13.3839444322
534	632	-14.0937973274
537	635	-14.8900555545
540	638	-15.1390956741
543	641	-14.8418769592
546	644	-14.5380084646
549	647	-15.0724050838
552	650	-13.8119483268
555	653	-12.5681624622
558	656	-12.9533614124
